"survived","pclass","sex","age","sibsp","parch","fare","embarked"
"0","2",2,44,1,0," 26.0000",4
"1","2",1,8,0,2," 26.2500",4
"0","2",2,19,0,0," 10.5000",4
"0","2",2,33,0,0," 12.2750",4
"0","3",1,29.6991176470588,1,0," 14.4542",2
"1","3",1,29.6991176470588,1,0," 15.5000",3
"0","2",2,29,0,0," 10.5000",4
"0","3",2,22,0,0,"  7.1250",4
"0","3",2,30,0,0,"  7.2250",2
"0","1",2,44,2,0," 90.0000",3
"0","3",1,25,0,0,"  7.7750",4
"1","2",1,24,0,2," 14.5000",4
"1","1",2,37,1,1," 52.5542",4
"0","2",2,54,1,0," 26.0000",4
"0","3",2,29.6991176470588,0,0,"  7.2500",4
"0","3",1,29,1,1," 10.4625",4
"0","1",2,62,0,0," 26.5500",4
"0","3",2,30,1,0," 16.1000",4
"0","3",1,41,0,2," 20.2125",4
"1","3",1,29,0,2," 15.2458",2
"1","1",1,29.6991176470588,0,0," 79.2000",2
"1","1",1,30,0,0," 86.5000",4
"1","1",1,35,0,0,"512.3292",2
"1","2",1,50,0,1," 26.0000",4
"0","3",2,29.6991176470588,0,0,"  7.7500",3
"1","3",2,3,4,2," 31.3875",4
"0","1",2,52,1,1," 79.6500",4
"0","1",2,40,0,0,"  0.0000",4
"0","3",1,29.6991176470588,0,0,"  7.7500",3
"0","2",2,36,0,0," 10.5000",4
"0","3",2,16,4,1," 39.6875",4
"1","3",2,25,1,0,"  7.7750",4
"1","1",1,58,0,1,"153.4625",4
"1","1",1,35,0,0,"135.6333",4
"0","1",2,29.6991176470588,0,0," 31.0000",4
"1","3",2,25,0,0,"  0.0000",4
"1","2",1,41,0,1," 19.5000",4
"0","1",2,37,0,1," 29.7000",2
"1","3",1,29.6991176470588,0,0,"  7.7500",3
"1","1",1,63,1,0," 77.9583",4
"0","3",1,45,0,0,"  7.7500",4
"0","2",2,29.6991176470588,0,0,"  0.0000",4
"0","3",2,7,4,1," 29.1250",3
"1","3",1,35,1,1," 20.2500",4
"0","3",2,65,0,0,"  7.7500",3
"0","3",2,28,0,0,"  7.8542",4
"0","3",2,16,0,0,"  9.5000",4
"1","3",2,19,0,0,"  8.0500",4
"0","1",2,29.6991176470588,0,0," 26.0000",4
"0","3",2,33,0,0,"  8.6625",2
"1","3",2,30,0,0,"  9.5000",4
"0","3",2,22,0,0,"  7.8958",4
"1","2",2,42,0,0," 13.0000",4
"1","3",1,22,0,0,"  7.7500",3
"1","1",1,26,0,0," 78.8500",4
"1","1",1,19,1,0," 91.0792",2
"0","2",2,36,0,0," 12.8750",2
"0","3",1,24,0,0,"  8.8500",4
"0","3",2,24,0,0,"  7.8958",4
"0","1",2,29.6991176470588,0,0," 27.7208",2
"0","3",2,23.5,0,0,"  7.2292",2
"0","1",1,2,1,2,"151.5500",4
"1","1",2,29.6991176470588,0,0," 30.5000",4
"1","1",1,50,0,1,"247.5208",2
"1","3",1,29.6991176470588,0,0,"  7.7500",3
"1","3",2,29.6991176470588,2,0," 23.2500",3
"0","3",2,19,0,0,"  0.0000",4
"1","2",1,29.6991176470588,0,0," 12.3500",3
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"1","1",2,0.92,1,2,"151.5500",4
"1","1",1,29.6991176470588,0,0,"110.8833",2
"1","1",1,17,1,0,"108.9000",2
"0","2",2,30,1,0," 24.0000",2
"1","1",1,30,0,0," 56.9292",2
"1","1",1,24,0,0," 83.1583",2
"1","1",1,18,2,2,"262.3750",2
"0","2",1,26,1,1," 26.0000",4
"0","3",2,28,0,0,"  7.8958",4
"0","2",2,43,1,1," 26.2500",4
"1","3",1,26,0,0,"  7.8542",4
"1","2",1,24,1,0," 26.0000",4
"0","2",2,54,0,0," 14.0000",4
"1","1",1,31,0,2,"164.8667",4
"1","1",1,40,1,1,"134.5000",2
"0","3",2,22,0,0,"  7.2500",4
"0","3",2,27,0,0,"  7.8958",4
"1","2",1,30,0,0," 12.3500",3
"1","2",1,22,1,1," 29.0000",4
"0","3",2,29.6991176470588,8,2," 69.5500",4
"1","1",1,36,0,0,"135.6333",2
"0","3",2,61,0,0,"  6.2375",4
"1","2",1,36,0,0," 13.0000",4
"1","3",1,31,1,1," 20.5250",4
"1","1",1,16,0,1," 57.9792",2
"1","3",1,29.6991176470588,2,0," 23.2500",3
"0","1",2,45.5,0,0," 28.5000",4
"0","1",2,38,0,1,"153.4625",4
"0","3",2,16,2,0," 18.0000",4
"1","1",1,29.6991176470588,1,0,"133.6500",4
"0","3",2,29.6991176470588,0,0,"  7.8958",4
"0","1",2,29,1,0," 66.6000",4
"1","1",1,41,0,0,"134.5000",2
"1","3",2,45,0,0,"  8.0500",4
"0","1",2,45,0,0," 35.5000",4
"1","2",2,2,1,1," 26.0000",4
"1","1",1,24,3,2,"263.0000",4
"0","2",2,28,0,0," 13.0000",4
"0","2",2,25,0,0," 13.0000",4
"0","2",2,36,0,0," 13.0000",4
"1","2",1,24,0,0," 13.0000",4
"1","2",1,40,0,0," 13.0000",4
"1","3",1,29.6991176470588,1,0," 16.1000",4
"1","3",2,3,1,1," 15.9000",4
"0","3",2,42,0,0,"  8.6625",4
"0","3",2,23,0,0,"  9.2250",4
"0","1",2,29.6991176470588,0,0," 35.0000",4
"0","3",2,15,1,1,"  7.2292",2
"0","3",2,25,1,0," 17.8000",4
"0","3",2,29.6991176470588,0,0,"  7.2250",2
"0","3",2,28,0,0,"  9.5000",4
"1","1",1,22,0,1," 55.0000",4
"0","2",1,38,0,0," 13.0000",4
"1","3",1,29.6991176470588,0,0,"  7.8792",3
"1","3",1,29.6991176470588,0,0,"  7.8792",3
"0","3",2,40,1,4," 27.9000",4
"0","2",2,29,1,0," 27.7208",2
"0","3",1,45,0,1," 14.4542",2
"0","3",2,35,0,0,"  7.0500",4
"0","3",2,29.6991176470588,1,0," 15.5000",3
"0","3",2,30,0,0,"  7.2500",4
"1","1",1,60,1,0," 75.2500",2
"1","3",1,29.6991176470588,0,0,"  7.2292",2
"1","3",1,29.6991176470588,0,0,"  7.7500",3
"1","1",1,24,0,0," 69.3000",2
"1","1",2,25,1,0," 55.4417",2
"0","3",2,18,1,0,"  6.4958",4
"0","3",2,19,0,0,"  8.0500",4
"0","1",2,22,0,0,"135.6333",2
"0","3",1,3,3,1," 21.0750",4
"1","1",1,29.6991176470588,1,0," 82.1708",2
"1","3",1,22,0,0,"  7.2500",4
"0","1",2,27,0,2,"211.5000",2
"0","3",2,20,0,0,"  4.0125",2
"0","3",2,19,0,0,"  7.7750",4
"1","1",1,42,0,0,"227.5250",2
"1","3",1,1,0,2," 15.7417",2
"0","3",2,32,0,0,"  7.9250",4
"1","1",1,35,1,0," 52.0000",4
"0","3",2,29.6991176470588,0,0,"  7.8958",4
"0","2",2,18,0,0," 73.5000",4
"0","3",2,1,5,2," 46.9000",4
"1","2",1,36,0,0," 13.0000",4
"0","3",2,29.6991176470588,0,0,"  7.7292",3
"1","2",1,17,0,0," 12.0000",2
"1","1",2,36,1,2,"120.0000",4
"1","3",2,21,0,0,"  7.7958",4
"0","3",2,28,2,0,"  7.9250",4
"1","1",1,23,1,0,"113.2750",2
"1","3",1,24,0,2," 16.7000",4
"0","3",2,22,0,0,"  7.7958",4
"0","3",1,31,0,0,"  7.8542",4
"0","2",2,46,0,0," 26.0000",4
"0","2",2,23,0,0," 10.5000",4
"1","2",1,28,0,0," 12.6500",4
"1","3",2,39,0,0,"  7.9250",4
"0","3",2,26,0,0,"  8.0500",4
"0","3",1,21,1,0,"  9.8250",4
"0","3",2,28,1,0," 15.8500",4
"0","3",1,20,0,0,"  8.6625",4
"0","2",2,34,1,0," 21.0000",4
"0","3",2,51,0,0,"  7.7500",4
"1","2",2,3,1,1," 18.7500",4
"0","3",2,21,0,0,"  7.7750",4
"0","3",1,29.6991176470588,3,1," 25.4667",4
"0","3",2,29.6991176470588,0,0,"  7.8958",4
"0","3",2,29.6991176470588,0,0,"  6.8583",3
"1","1",1,33,1,0," 90.0000",3
"0","2",2,29.6991176470588,0,0,"  0.0000",4
"1","3",2,44,0,0,"  7.9250",4
"0","3",1,29.6991176470588,0,0,"  8.0500",4
"1","2",1,34,1,1," 32.5000",4
"1","2",1,18,0,2," 13.0000",4
"0","2",2,30,0,0," 13.0000",4
"0","3",1,10,0,2," 24.1500",4
"0","3",2,29.6991176470588,0,0,"  7.8958",2
"0","3",2,21,0,0,"  7.7333",3
"0","3",2,29,0,0,"  7.8750",4
"0","3",1,28,1,1," 14.4000",4
"0","3",2,18,1,1," 20.2125",4
"0","3",2,29.6991176470588,0,0,"  7.2500",4
"1","2",1,28,1,0," 26.0000",4
"1","2",1,19,0,0," 26.0000",4
"0","3",2,29.6991176470588,0,0,"  7.7500",3
"1","3",2,32,0,0,"  8.0500",4
"1","1",2,28,0,0," 26.5500",4
"1","3",1,29.6991176470588,1,0," 16.1000",4
"1","2",1,42,1,0," 26.0000",4
"0","3",2,17,0,0,"  7.1250",4
"0","1",2,50,1,0," 55.9000",4
"1","1",1,14,1,2,"120.0000",4
"0","3",1,21,2,2," 34.3750",4
"1","2",1,24,2,3," 18.7500",4
"0","1",2,64,1,4,"263.0000",4
"0","2",2,31,0,0," 10.5000",4
"1","2",1,45,1,1," 26.2500",4
"0","3",2,20,0,0,"  9.5000",4
"0","3",2,25,1,0,"  7.7750",4
"1","2",1,28,0,0," 13.0000",4
"1","3",2,29.6991176470588,0,0,"  8.1125",4
"1","1",2,4,0,2," 81.8583",4
"1","2",1,13,0,1," 19.5000",4
"1","1",2,34,0,0," 26.5500",4
"1","3",1,5,2,1," 19.2583",2
"1","1",2,52,0,0," 30.5000",4
"0","2",2,36,1,2," 27.7500",4
"0","3",2,29.6991176470588,1,0," 19.9667",4
"0","1",2,30,0,0," 27.7500",2
"1","1",2,49,1,0," 89.1042",2
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"1","3",2,29,0,0,"  7.8958",2
"0","1",2,65,0,0," 26.5500",4
"1","1",1,29.6991176470588,1,0," 51.8625",4
"1","2",1,50,0,0," 10.5000",4
"0","3",2,29.6991176470588,0,0,"  7.7500",3
"1","1",2,48,0,0," 26.5500",4
"0","3",2,34,0,0,"  8.0500",4
"0","1",2,47,0,0," 38.5000",4
"0","2",2,48,0,0," 13.0000",4
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"0","3",2,38,0,0,"  7.0500",4
"0","2",2,29.6991176470588,0,0,"  0.0000",4
"0","1",2,56,0,0," 26.5500",4
"0","3",2,29.6991176470588,0,0,"  7.7250",3
"1","3",1,0.75,2,1," 19.2583",2
"0","3",2,29.6991176470588,0,0,"  7.2500",4
"0","3",2,38,0,0,"  8.6625",4
"1","2",1,33,1,2," 27.7500",4
"1","2",1,23,0,0," 13.7917",2
"0","3",1,22,0,0,"  9.8375",4
"0","1",2,29.6991176470588,0,0," 52.0000",4
"0","2",2,34,1,0," 21.0000",4
"0","3",2,29,1,0,"  7.0458",4
"0","3",2,22,0,0,"  7.5208",4
"1","3",1,2,0,1," 12.2875",4
"0","3",2,9,5,2," 46.9000",4
"0","2",2,29.6991176470588,0,0,"  0.0000",4
"0","3",2,50,0,0,"  8.0500",4
"1","3",1,63,0,0,"  9.5875",4
"1","1",2,25,1,0," 91.0792",2
"0","3",1,29.6991176470588,3,1," 25.4667",4
"1","1",1,35,1,0," 90.0000",4
"0","1",2,58,0,0," 29.7000",2
"0","3",2,30,0,0,"  8.0500",4
"1","3",2,9,1,1," 15.9000",4
"0","3",2,29.6991176470588,1,0," 19.9667",4
"0","3",2,21,0,0,"  7.2500",4
"0","1",2,55,0,0," 30.5000",4
"0","1",2,71,0,0," 49.5042",2
"0","3",2,21,0,0,"  8.0500",4
"0","3",2,29.6991176470588,0,0," 14.4583",2
"1","1",1,54,1,0," 78.2667",2
"0","3",2,29.6991176470588,0,0," 15.1000",4
"0","1",1,25,1,2,"151.5500",4
"0","3",2,24,0,0,"  7.7958",4
"0","3",2,17,0,0,"  8.6625",4
"0","3",1,21,0,0,"  7.7500",3
"0","3",1,29.6991176470588,0,0,"  7.6292",3
"0","3",1,37,0,0,"  9.5875",4
"1","1",1,16,0,0," 86.5000",4
"0","1",2,18,1,0,"108.9000",2
"1","2",1,33,0,2," 26.0000",4
"1","1",2,29.6991176470588,0,0," 26.5500",4
"0","3",2,28,0,0," 22.5250",4
"1","3",2,26,0,0," 56.4958",4
"1","3",2,29,0,0,"  7.7500",3
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"1","1",2,36,0,0," 26.2875",4
"1","1",1,54,1,0," 59.4000",2
"0","3",2,24,0,0,"  7.4958",4
"0","1",2,47,0,0," 34.0208",4
"1","2",1,34,0,0," 10.5000",4
"0","3",2,29.6991176470588,0,0," 24.1500",3
"1","2",1,36,1,0," 26.0000",4
"0","3",2,32,0,0,"  7.8958",4
"1","1",1,30,0,0," 93.5000",4
"0","3",2,22,0,0,"  7.8958",4
"0","3",2,29.6991176470588,0,0,"  7.2250",2
"1","1",1,44,0,1," 57.9792",2
"0","3",2,29.6991176470588,0,0,"  7.2292",2
"0","3",2,40.5,0,0,"  7.7500",3
"1","2",1,50,0,0," 10.5000",4
"0","1",2,29.6991176470588,0,0,"221.7792",4
"0","3",2,39,0,0,"  7.9250",4
"0","2",2,23,2,1," 11.5000",4
"1","2",1,2,1,1," 26.0000",4
"0","3",2,29.6991176470588,0,0,"  7.2292",2
"0","3",2,17,1,1,"  7.2292",2
"1","3",1,29.6991176470588,0,2," 22.3583",2
"0","3",1,30,0,0,"  8.6625",4
"1","2",1,7,0,2," 26.2500",4
"0","1",2,45,0,0," 26.5500",4
"1","1",1,30,0,0,"106.4250",2
"0","3",2,29.6991176470588,0,0," 14.5000",4
"1","1",1,22,0,2," 49.5000",2
"1","1",1,36,0,2," 71.0000",4
"0","3",1,9,4,2," 31.2750",4
"0","3",1,11,4,2," 31.2750",4
"1","2",2,32,1,0," 26.0000",4
"0","1",2,50,1,0,"106.4250",2
"0","1",2,64,0,0," 26.0000",4
"1","2",1,19,1,0," 26.0000",4
"1","2",2,29.6991176470588,0,0," 13.8625",2
"0","3",2,33,1,1," 20.5250",4
"1","2",2,8,1,1," 36.7500",4
"1","1",2,17,0,2,"110.8833",2
"0","2",2,27,0,0," 26.0000",4
"0","3",2,29.6991176470588,0,0,"  7.8292",3
"1","3",2,22,0,0,"  7.2250",2
"1","3",1,22,0,0,"  7.7750",4
"0","1",2,62,0,0," 26.5500",4
"1","1",1,48,1,0," 39.6000",2
"0","1",2,29.6991176470588,0,0,"227.5250",2
"1","1",1,39,1,1," 79.6500",4
"1","3",1,36,1,0," 17.4000",4
"0","3",2,29.6991176470588,0,0,"  7.7500",3
"0","3",2,40,0,0,"  7.8958",4
"0","2",2,28,0,0," 13.5000",4
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"0","3",1,29.6991176470588,0,0,"  8.0500",4
"0","3",2,24,2,0," 24.1500",4
"0","3",2,19,0,0,"  7.8958",4
"0","3",1,29,0,4," 21.0750",4
"0","3",2,29.6991176470588,0,0,"  7.2292",2
"1","3",2,32,0,0,"  7.8542",4
"1","2",2,62,0,0," 10.5000",4
"1","1",1,53,2,0," 51.4792",4
"1","1",2,36,0,0," 26.3875",4
"1","3",1,29.6991176470588,0,0,"  7.7500",3
"0","3",2,16,0,0,"  8.0500",4
"0","3",2,19,0,0," 14.5000",4
"1","2",1,34,0,0," 13.0000",4
"1","1",1,39,1,0," 55.9000",4
"0","3",1,29.6991176470588,1,0," 14.4583",2
"1","3",2,32,0,0,"  7.9250",4
"1","2",1,25,1,1," 30.0000",4
"1","1",1,39,1,1,"110.8833",2
"0","2",2,54,0,0," 26.0000",4
"0","1",2,36,0,0," 40.1250",2
"0","3",2,29.6991176470588,0,0,"  8.7125",2
"1","1",1,18,0,2," 79.6500",4
"0","2",2,47,0,0," 15.0000",4
"1","1",2,60,1,1," 79.2000",2
"0","3",2,22,0,0,"  8.0500",4
"0","3",2,29.6991176470588,0,0,"  8.0500",4
"0","3",2,35,0,0,"  7.1250",4
"1","1",1,52,1,0," 78.2667",2
"0","3",2,47,0,0,"  7.2500",4
"0","3",1,29.6991176470588,0,2,"  7.7500",3
"0","2",2,37,1,0," 26.0000",4
"0","3",2,36,1,1," 24.1500",4
"1","2",1,29.6991176470588,0,0," 33.0000",4
"0","3",2,49,0,0,"  0.0000",4
"0","3",2,29.6991176470588,0,0,"  7.2250",2
"1","1",2,49,1,0," 56.9292",2
"1","2",1,24,2,1," 27.0000",4
"0","3",2,29.6991176470588,0,0,"  7.8958",4
"0","1",2,29.6991176470588,0,0," 42.4000",4
"0","3",2,44,0,0,"  8.0500",4
"1","1",2,35,0,0," 26.5500",2
"0","3",2,36,1,0," 15.5500",4
"0","3",2,30,0,0,"  7.8958",4
"1","1",2,27,0,0," 30.5000",4
"1","2",1,22,1,2," 41.5792",2
"1","1",1,40,0,0,"153.4625",4
"0","3",1,39,1,5," 31.2750",4
"0","3",2,29.6991176470588,0,0,"  7.0500",4
"1","3",1,29.6991176470588,1,0," 15.5000",3
"0","3",2,29.6991176470588,0,0,"  7.7500",3
